bhk,area,locality,city,price,amenities,tone,highlights
3,1800,Worli,Mumbai,₹12 Cr,"2 Car Parks, Clubhouse",luxury,"Sea-facing, high floor"
2,950,Tardeo,Mumbai,₹3.5 Cr,"Gym, Pool",professional,Well-maintained society
4,2200,Malabar Hill,Mumbai,₹25 Cr,"Deck, Concierge",luxury,Panoramic sea view
3,1800,Worli,Mumbai,₹12 Cr,"2 Car Parks, Clubhouse",luxury,"Sea-facing, high floor"
2,950,Tardeo,Mumbai,₹3.5 Cr,"Gym, Pool",professional,"Well-maintained society"
4,2200,Malabar Hill,Mumbai,₹25 Cr,"Deck, Concierge",luxury,"Panoramic sea view"
2,850,Bandra West,Mumbai,₹4.2 Cr,"Gym, Yoga Room",premium,"Near Carter Road"
3,1500,Khar West,Mumbai,₹5.8 Cr,"Pool, Clubhouse",luxury,"Modern interiors"
1,550,Santacruz East,Mumbai,₹1.8 Cr,"Lift, CCTV",budget,"Close to Western Express Highway"
2,1100,Santacruz West,Mumbai,₹3.2 Cr,"Gym, Parking",professional,"Quiet residential lane"
3,1350,Vile Parle East,Mumbai,₹3.9 Cr,"Terrace, Security",premium,"Good connectivity"
2,900,Vile Parle West,Mumbai,₹3.6 Cr,"Gym, Kids Play Area",professional,"Renovated flat"
3,1450,Andheri West,Mumbai,₹2.8 Cr,"Pool, Clubhouse",premium,"Near metro station"
2,750,Andheri East,Mumbai,₹1.65 Cr,"Gym, Security",professional,"Corporate hub location"
4,2000,Juhu,Mumbai,₹17 Cr,"Private Garden, Pool",luxury,"Close to Juhu Beach"
5,2800,Juhu,Mumbai,₹28 Cr,"Pool, Concierge",luxury,"Bungalow-style layout"
3,1600,Goregaon East,Mumbai,₹2.35 Cr,"Clubhouse, Pool",premium,"Aarey-facing view"
2,950,Goregaon West,Mumbai,₹1.45 Cr,"Gym, Security",professional,"Near SV Road"
1,520,Malad West,Mumbai,₹95 L,"Lift, CCTV",budget,"Close to Infinity Mall"
2,820,Malad East,Mumbai,₹1.35 Cr,"Clubhouse, Gym",professional,"Green surroundings"
3,1400,Kandivali East,Mumbai,₹1.75 Cr,"Pool, Gym",premium,"Near Thakur Village"
2,900,Kandivali West,Mumbai,₹1.25 Cr,"Security, Lift",budget,"Calm residential lane"
1,480,Borivali West,Mumbai,₹85 L,"Gym, Kids Area",budget,"Close to Jain Temple"
2,820,Borivali East,Mumbai,₹1.3 Cr,"Clubhouse, Garden",professional,"Near National Park"
3,1500,Dadar West,Mumbai,₹7.2 Cr,"Gym, Car Park",luxury,"High floor, great ventilation"
2,980,Dadar East,Mumbai,₹3.9 Cr,"CCTV, Lift",professional,"Prime central location"
3,1600,Lower Parel,Mumbai,₹8.5 Cr,"Pool, Gym, Lounge",luxury,"Close to corporate hub"
2,1000,Lower Parel,Mumbai,₹4.8 Cr,"Clubhouse, Concierge",premium,"Modern tower"
4,2300,Prabhadevi,Mumbai,₹18 Cr,"Deck, Pool",luxury,"Sea-touching lane"
3,1450,Wadala East,Mumbai,₹2.4 Cr,"Clubhouse, Gym",premium,"Connected via Monorail"
2,900,Wadala West,Mumbai,₹1.95 Cr,"Security, Gym",professional,"Near schools"
1,500,Sion East,Mumbai,₹1.1 Cr,"Lift, CCTV",budget,"Market nearby"
2,850,Sion West,Mumbai,₹1.75 Cr,"Gym, Parking",professional,"Good connectivity"
3,1700,Chembur,Mumbai,₹2.8 Cr,"Pool, Clubhouse",premium,"Golf course facing"
2,900,Chembur,Mumbai,₹1.9 Cr,"Security, Gym",professional,"Well-maintained society"
2,880,Mahalaxmi,Mumbai,₹6.5 Cr,"Pool, Concierge",luxury,"Racecourse view"
3,1500,Mahalaxmi,Mumbai,₹8.2 Cr,"Clubhouse, Lounge",premium,"Skyline facing"
4,2100,Colaba,Mumbai,₹15 Cr,"Terrace, Concierge",luxury,"Harbour-facing"
3,1650,Colaba,Mumbai,₹9 Cr,"Gym, Car Park",premium,"Iconic south Mumbai area"
2,950,Cuffe Parade,Mumbai,₹7.8 Cr,"Gym, Pool",luxury,"Sea-facing, diplomatic zone"
3,1850,Cuffe Parade,Mumbai,₹11 Cr,"Concierge, Deck",luxury,"High-end tower"
2,900,Byculla,Mumbai,₹2.9 Cr,"Clubhouse, Gym",premium,"Near zoo redevelopment"
3,1450,Byculla,Mumbai,₹3.8 Cr,"Pool, Kids Area",professional,"Modern amenities"
4,2000,Walkeshwar,Mumbai,₹22 Cr,"Deck, Concierge",luxury,"Queen’s Necklace view"
3,1500,Walkeshwar,Mumbai,₹14 Cr,"Gym, Car Park",premium,"Peaceful locality"
2,850,Chunabhatti,Mumbai,₹1.35 Cr,"Gym, Security",budget,"Near Eastern Express Highway"
3,1350,Matunga West,Mumbai,₹5.5 Cr,"Clubhouse, Gym",premium,"Prime lane"
2,900,Matunga East,Mumbai,₹4 Cr,"CCTV, Parking",professional,"Educational hub"
3,1500,Bandra Kurla Complex,Mumbai,₹5.8 Cr,"Pool, Concierge",luxury,"Corporate district"
2,950,BKC,Mumbai,₹4.5 Cr,"Gym, Lounge",premium,"High rental demand"
2,880,Kala Ghoda,Mumbai,₹6.2 Cr,"Gym, Concierge",luxury,"Art district"
1,500,Kala Ghoda,Mumbai,₹3 Cr,"Security, Lift",professional,"Heritage neighbourhood"
3,1650,Fort,Mumbai,₹5.5 Cr,"Gym, Parking",professional,"Business hub"
2,900,Fountain,Mumbai,₹3.8 Cr,"Lift, Security",professional,"Colonial-era building"
1,480,Parel Village,Mumbai,₹1.1 Cr,"Gym, CCTV",budget,"Local market nearby"
2,900,Antop Hill,Mumbai,₹1.4 Cr,"Lift, Security",budget,"Close to Wadala"
2,850,Sewri,Mumbai,₹1.85 Cr,"Gym, Parking",professional,"Harbour view"
3,1600,Sewri,Mumbai,₹2.7 Cr,"Clubhouse, Pool",premium,"High tower"
2,900,Mazgaon,Mumbai,₹2.1 Cr,"Lift, Security",professional,"Port view"
1,550,Mazgaon,Mumbai,₹1.2 Cr,"CCTV, Parking",budget,"Quiet street"
2,880,Grant Road,Mumbai,₹2.6 Cr,"Gym, Lift",professional,"Central location"
3,1500,Grant Road,Mumbai,₹3.8 Cr,"Parking, Security",professional,"Renovated interiors"
2,900,Charni Road,Mumbai,₹3.5 Cr,"Gym, Sea View",premium,"Opposite Marine Drive"
3,1650,Charni Road,Mumbai,₹6.8 Cr,"Concierge, Deck",luxury,"Queen’s Necklace facing"
4,2300,Mumbai Central,Mumbai,₹4.5 Cr,"Gym, Pool",professional,"Close to station"
2,900,Mumbai Central,Mumbai,₹2.65 Cr,"Lift, Parking",professional,"Good connectivity"
3,1500,Worli Sea Face,Mumbai,₹13 Cr,"Concierge, Deck",luxury,"Full sea view"
2,900,Worli,Mumbai,₹6.8 Cr,"Gym, Car Park",premium,"High-end tower"
4,2200,Worli,Mumbai,₹18.5 Cr,"Pool, Clubhouse",luxury,"Skyline-facing"
2,850,Peddar Road,Mumbai,₹5.2 Cr,"Gym, Parking",premium,"Central South Mumbai"
3,1600,Peddar Road,Mumbai,₹8.6 Cr,"Car Park, Concierge",luxury,"Elite locality"
2,920,Breach Candy,Mumbai,₹7.5 Cr,"Gym, Lounge",luxury,"Sea proximity"
3,1650,Breach Candy,Mumbai,₹10.8 Cr,"Concierge, Pool",luxury,"Prestigious address"
2,900,Napean Sea Road,Mumbai,₹9.8 Cr,"Gym, Deck",luxury,"Sea-touching lane"
4,2300,Napean Sea Road,Mumbai,₹26 Cr,"Concierge, Private Lift",luxury,"Ultra-premium view"
3,1600,Versova,Mumbai,₹2.25 Cr,"Gym, Pool",premium,"Close to beach"
2,900,Versova,Mumbai,₹1.75 Cr,"Lift, Security",professional,"Popular residential hub"
1,550,Jogeshwari West,Mumbai,₹85 L,"Parking, Lift",budget,"Near SV Road"
2,850,Jogeshwari East,Mumbai,₹1.4 Cr,"Gym, Security",professional,"Near JVLR"
3,1400,Oshiwara,Mumbai,₹1.9 Cr,"Pool, Gym",professional,"Good connectivity"
2,900,Oshiwara,Mumbai,₹1.55 Cr,"Security, Parking",budget,"Cosmopolitan area"
3,1500,Chandivali,Mumbai,₹1.85 Cr,"Pool, Clubhouse",premium,"Near Powai"
2,850,Chandivali,Mumbai,₹1.35 Cr,"Gym, Lift",professional,"Modern township"
3,1450,Powai,Mumbai,₹2.9 Cr,"Lake View, Clubhouse",premium,"Hiranandani area"
2,900,Powai,Mumbai,₹1.95 Cr,"Pool, Gym",premium,"Lake-facing tower"
1,500,Powai,Mumbai,₹1.2 Cr,"Security, Lift",budget,"Student-friendly"
4,2100,Powai,Mumbai,₹4.8 Cr,"Deck, Clubhouse",premium,"Luxury complex"
3,1600,Vikhroli East,Mumbai,₹1.65 Cr,"Gym, Clubhouse",professional,"Godrej hub"
2,900,Vikhroli West,Mumbai,₹1.45 Cr,"Parking, Lift",professional,"Residential area"
2,850,Kanjurmarg East,Mumbai,₹1.35 Cr,"Gym, Security",professional,"Upcoming area"
3,1500,Kanjurmarg West,Mumbai,₹1.55 Cr,"Pool, Clubhouse",premium,"Near JVLR"
2,900,Bhandup West,Mumbai,₹1.1 Cr,"Lift, Parking",budget,"Close to station"
1,520,Bhandup East,Mumbai,₹95 L,"Security, CCTV",budget,"Good connectivity"
2,880,Mulund West,Mumbai,₹1.6 Cr,"Gym, Clubhouse",professional,"Green & peaceful"
3,1500,Mulund East,Mumbai,₹1.9 Cr,"Pool, Parking",premium,"Park-facing"
2,850,Ghatkopar East,Mumbai,₹1.75 Cr,"Gym, Parking",professional,"Prime Gujarati hub"
3,1500,Ghatkopar West,Mumbai,₹1.9 Cr,"Pool, Clubhouse",premium,"Renovated property"
1,500,Vidyavihar,Mumbai,₹1 Cr,"Lift, Security",budget,"Near railway station"
2,900,Kurla West,Mumbai,₹1.25 Cr,"Gym, Parking",budget,"Near Phoenix Mall"
1,550, Kurla East,Mumbai,₹85 L,"Security, Lift",budget,"Crowded but central"
3,1600,Saki Naka,Mumbai,₹1.6 Cr,"Pool, Gym",professional,"Near commercial zone"
2,900,Saki Naka,Mumbai,₹1.3 Cr,"Parking, Lift",budget,"Metro close"
2,850,Marol,Mumbai,₹1.4 Cr,"Gym, Clubhouse",professional,"Near Airport Road"
3,1450,Marol,Mumbai,₹1.75 Cr,"Pool, Lounge",premium,"Modern tower"
2,900,Kalina,Mumbai,₹1.7 Cr,"Gym, Parking",professional,"BKC proximity"
3,1600,Kalina,Mumbai,₹2.1 Cr,"Clubhouse, Pool",premium,"Corporate belt"
2,880,Kurla,BKC,Mumbai,₹1.95 Cr,"Gym, Security",professional,"High rental demand"
3,1500,Sahar Village,Mumbai,₹2.4 Cr,"Parking, Gym",premium,"Airport view"
4,2200,Kalyan West,Thane,₹1.5 Cr,"Clubhouse, Pool",budget,"Luxury at affordable price"
3,1600,Thane West,Thane,₹2.1 Cr,"Gym, Garden",professional,"Spacious unit"
2,900,Thane East,Thane,₹1.45 Cr,"Parking, Gym",budget,"Well connected"
3,1500,Hiranandani Estate,Thane,₹2.8 Cr,"Pool, Clubhouse",premium,"High-end township"
4,2200,Hiranandani Estate,Thane,₹3.9 Cr,"Deck, Concierge",luxury,"Large family home"
